Rank,grid_id,Actual_Crime_Count,Target_Period,center_longitude,center_latitude,southwest_lat,southwest_lng,northeast_lat,northeast_lng,bounds
74,1578,1,202304,-82.5378234326,27.3570373098,27.356355490378508,-82.53859110876063,27.35771912922149,-82.53705575643939,"[(np.float64(27.356355490378508), np.float64(-82.53859110876063)), (np.float64(27.35771912922149), np.float64(-82.53705575643939))]"
75,2717,1,202304,-82.5316357139,27.351559455,27.35087763557851,-82.53240335209149,27.35224127442149,-82.53086807570851,"[(np.float64(27.35087763557851), np.float64(-82.53240335209149)), (np.float64(27.35224127442149), np.float64(-82.53086807570851))]"
76,1787,1,202304,-82.5423574321,27.3391397366,27.33845791717851,-82.54312498424552,27.33982155602149,-82.54158987995449,"[(np.float64(27.33845791717851), np.float64(-82.54312498424552)), (np.float64(27.33982155602149), np.float64(-82.54158987995449))]"
77,2518,1,202304,-82.5146543935,27.34337072,27.34268890057851,-82.51542197495229,27.34405253942149,-82.5138868120477,"[(np.float64(27.34268890057851), np.float64(-82.51542197495229)), (np.float64(27.34405253942149), np.float64(-82.5138868120477))]"
78,2605,1,202304,-82.5469845202,27.3404970844,27.33981526497851,-82.54775208174676,27.34117890382149,-82.54621695865323,"[(np.float64(27.33981526497851), np.float64(-82.54775208174676)), (np.float64(27.34117890382149), np.float64(-82.54621695865323))]"
79,2023,1,202304,-82.500811327,27.3475472175,27.34686539807851,-82.50157893738796,27.34822903692149,-82.50004371661203,"[(np.float64(27.34686539807851), np.float64(-82.50157893738796)), (np.float64(27.34822903692149), np.float64(-82.50004371661203))]"
80,1891,1,202304,-82.5084246407,27.3282641984,27.32758237897851,-82.50919211754335,27.32894601782149,-82.50765716385665,"[(np.float64(27.32758237897851), np.float64(-82.50919211754335)), (np.float64(27.32894601782149), np.float64(-82.50765716385665))]"
81,721,1,202304,-82.5421835097,27.3033802022,27.30269838277851,-82.54295081440624,27.30406202162149,-82.54141620499375,"[(np.float64(27.30269838277851), np.float64(-82.54295081440624)), (np.float64(27.30406202162149), np.float64(-82.54141620499375))]"
82,88,1,202304,-82.519281337,27.3447289869,27.34404716747851,-82.52004892786196,27.345410806321492,-82.51851374613803,"[(np.float64(27.34404716747851), np.float64(-82.52004892786196)), (np.float64(27.345410806321492), np.float64(-82.51851374613803))]"
83,1317,1,202304,-82.4992710879,27.3475527318,27.34687091237851,-82.50003869832616,27.34823455122149,-82.49850347747383,"[(np.float64(27.34687091237851), np.float64(-82.50003869832616)), (np.float64(27.34823455122149), np.float64(-82.49850347747383))]"
84,1064,1,202304,-82.525325402,27.3199493174,27.319267497978508,-82.52609282129978,27.32063113682149,-82.52455798270023,"[(np.float64(27.319267497978508), np.float64(-82.52609282129978)), (np.float64(27.32063113682149), np.float64(-82.52455798270023))]"
85,275,1,202304,-82.4931408437,27.3515648625,27.350883043078507,-82.49390848192897,27.35224668192149,-82.49237320547104,"[(np.float64(27.350883043078507), np.float64(-82.49390848192897)), (np.float64(27.35224668192149), np.float64(-82.49237320547104))]"
86,480,1,202304,-82.5285420829,27.3488204198,27.34813860037851,-82.52930970211023,27.34950223922149,-82.52777446368978,"[(np.float64(27.34813860037851), np.float64(-82.52930970211023)), (np.float64(27.34950223922149), np.float64(-82.52777446368978))]"
87,614,1,202304,-82.5470318031,27.3501246106,27.34944279117851,-82.54779943134781,27.350806430021493,-82.54626417485218,"[(np.float64(27.34944279117851), np.float64(-82.54779943134781)), (np.float64(27.350806430021493), np.float64(-82.54626417485218))]"
88,1376,1,202304,-82.5023515657,27.3475416862,27.34685986677851,-82.50311917604964,27.34822350562149,-82.50158395535036,"[(np.float64(27.34685986677851), np.float64(-82.50311917604964)), (np.float64(27.34822350562149), np.float64(-82.50158395535036))]"
89,849,1,202304,-82.5269758019,27.3433247792,27.34264295977851,-82.52774338303404,27.34400659862149,-82.52620822076595,"[(np.float64(27.34264295977851), np.float64(-82.52774338303404)), (np.float64(27.34400659862149), np.float64(-82.52620822076595))]"
90,258,1,202304,-82.5516934799,27.3583585834,27.35767676397851,-82.55246116522049,27.359040402821492,-82.5509257945795,"[(np.float64(27.35767676397851), np.float64(-82.55246116522049)), (np.float64(27.359040402821492), np.float64(-82.5509257945795))]"
91,87,1,202304,-82.5361506536,27.3295359593,27.32885413987851,-82.53691813924684,27.33021777872149,-82.53538316795317,"[(np.float64(27.32885413987851), np.float64(-82.53691813924684)), (np.float64(27.33021777872149), np.float64(-82.53538316795317))]"
92,1133,1,202304,-82.5053945984,27.3392783498,27.33859653037851,-82.50616215150556,27.33996016922149,-82.50462704529444,"[(np.float64(27.33859653037851), np.float64(-82.50616215150556)), (np.float64(27.33996016922149), np.float64(-82.50462704529444))]"
93,2668,1,202304,-82.5360184242,27.3020285755,27.30134675607851,-82.5367857195626,27.30271039492149,-82.53525112883739,"[(np.float64(27.30134675607851), np.float64(-82.5367857195626)), (np.float64(27.30271039492149), np.float64(-82.53525112883739))]"
94,441,1,202304,-82.4915031335,27.3324509341,27.331769114678508,-82.49227063932727,27.33313275352149,-82.49073562767273,"[(np.float64(27.331769114678508), np.float64(-82.49227063932727)), (np.float64(27.33313275352149), np.float64(-82.49073562767273))]"
95,35,1,202304,-82.5130002466,27.3186197032,27.31793788377851,-82.51376765670041,27.31930152262149,-82.51223283649959,"[(np.float64(27.31793788377851), np.float64(-82.51376765670041)), (np.float64(27.31930152262149), np.float64(-82.51223283649959))]"
96,18,1,202304,-82.5130318899,27.3254965684,27.324814748978508,-82.51379934758708,27.32617838782149,-82.51226443221293,"[(np.float64(27.324814748978508), np.float64(-82.51379934758708)), (np.float64(27.32617838782149), np.float64(-82.51226443221293))]"
97,1847,1,202304,-82.4930735961,27.339322381,27.338640561578508,-82.49384114951052,27.34000420042149,-82.49230604268949,"[(np.float64(27.338640561578508), np.float64(-82.49384114951052)), (np.float64(27.34000420042149), np.float64(-82.49230604268949))]"
98,2506,1,202304,-82.5008051424,27.3461718467,27.345490027278508,-82.50157274325841,27.34685366612149,-82.50003754154159,"[(np.float64(27.345490027278508), np.float64(-82.50157274325841)), (np.float64(27.34685366612149), np.float64(-82.50003754154159))]"
99,1773,1,202304,-82.4930436623,27.3310996378,27.33041781837851,-82.49381115877183,27.331781457221492,-82.49227616582816,"[(np.float64(27.33041781837851), np.float64(-82.49381115877183)), (np.float64(27.331781457221492), np.float64(-82.49227616582816))]"
100,190,1,202304,-82.5099646111,27.3282585868,27.32757676737851,-82.51073208790451,27.32894040622149,-82.50919713429549,"[(np.float64(27.32757676737851), np.float64(-82.51073208790451)), (np.float64(27.32894040622149), np.float64(-82.50919713429549))]"
